origin_time,Ev. Lat,Ev. Long,Ev. Depth,Station,St. Lat,St. Long,Delay 2-4,Delay 4-8,Delay 8-16,Delay 16-32
2005-11-07T08:41:40.087960,36.504408,27.819982,68.725586,RHON,36.38,28.0844,0.546999,0.336999,0.736999,0.986999
2005-11-07T08:41:40.087960,36.504408,27.819982,68.725586,TUR7,36.7017,27.5697,0.567997,0.607997,0.527997,0.387997
2005-11-07T08:41:40.087960,36.504408,27.819982,68.725586,TUR9,36.7015,28.0887,0.696999,0.346999,0.356999,0.346999
2005-11-07T08:41:40.087960,36.504408,27.819982,68.725586,RHOS,36.011,27.8197,0.578,0.368,0.478,0.438
2005-11-07T08:41:40.087960,36.504408,27.819982,68.725586,TUR4,37.08,27.8077,2.285,1.915,0.935,4.975
2005-11-07T08:41:40.087960,36.504408,27.819982,68.725586,TUR8,36.8273,28.939,1.077998,0.987998,1.107998,14.657998
2005-11-07T08:41:40.087960,36.504408,27.819982,68.725586,KAPA,35.6402,27.1376,1.246997,1.276997,2.046997,1.966997
2005-11-08T21:49:53.746666,36.856523,22.382241,55.053711,PE08,36.8311,22.442,1.269999,0.949999,1.179999,10.249999
2005-11-08T21:49:53.746666,36.856523,22.382241,55.053711,PE11,36.4834,22.4785,2.544996,2.094996,2.904996,6.224996
2005-11-08T21:49:53.746666,36.856523,22.382241,55.053711,PE09,36.7921,21.8879,1.352997,0.622997,0.802997,2.232997
2005-11-08T21:49:53.746666,36.856523,22.382241,55.053711,PE07,37.1478,22.8195,4.818004,3.058004,3.938004,4.358004
2005-11-08T21:49:53.746666,36.856523,22.382241,55.053711,PE06,37.1787,21.9252,1.338997,2.078997,2.198997,2.508997
2005-11-08T23:05:32.090829,36.689893,28.103034,69.458008,TUR9,36.7015,28.0887,0.730998,0.960998,0.790998,0.800998
2005-11-08T23:05:32.090829,36.689893,28.103034,69.458008,RHON,36.38,28.0844,1.124,0.864,1.014,1.134
2005-11-08T23:05:32.090829,36.689893,28.103034,69.458008,TUR7,36.7017,27.5697,2.720998,2.390998,1.590998,2.240998
2005-11-08T23:05:32.090829,36.689893,28.103034,69.458008,TUR8,36.8273,28.939,0.819998,1.239998,1.959998,1.399998
2005-11-08T23:51:55.848608,38.235981,22.237494,54.443359,PE01,38.017,22.0283,3.246004,0.296004,3.056004,0.066004
2005-11-08T23:51:55.848608,38.235981,22.237494,54.443359,PE02,37.8958,22.4907,1.381998,0.921998,1.461998,0.971998
2005-11-08T23:51:55.848608,38.235981,22.237494,54.443359,PE05,37.5128,22.4553,0.748001,2.128001,2.698001,4.168001
2005-11-08T23:51:55.848608,38.235981,22.237494,54.443359,PE04,37.6007,22.9593,1.783,1.503,0.983,1.393
2005-11-08T23:51:55.848608,38.235981,22.237494,54.443359,PE07,37.1478,22.8195,0.943,3.233,5.653,5.753
2005-11-08T23:51:55.848608,38.235981,22.237494,54.443359,KEAI,37.6232,24.3191,1.619997,0.589997,1.679997,11.339997
2005-11-10T02:22:17.437040,36.303745,26.510461,109.49707,ASTY,36.5795,26.4114,0.863001,0.593001,12.443001,10.763001
2005-11-10T02:22:17.437040,36.303745,26.510461,109.49707,KOSI,36.7449,26.9517,0.612997,1.252997,10.772997,0.502997
2005-11-10T02:22:17.437040,36.303745,26.510461,109.49707,KAPA,35.6402,27.1376,0.812997,0.412997,0.562997,0.082997
2005-11-10T02:22:17.437040,36.303745,26.510461,109.49707,KASO,35.4115,26.9152,2.614997,0.534997,0.644997,0.704997
2005-11-10T02:22:17.437040,36.303745,26.510461,109.49707,RHOS,36.011,27.8197,0.869003,0.849003,1.029003,2.859003
2005-11-10T02:22:17.437040,36.303745,26.510461,109.49707,TUR9,36.7015,28.0887,0.78,1.74,1.4,2.79
2005-11-10T02:22:17.437040,36.303745,26.510461,109.49707,LAST,35.16,25.48,1.892996,2.092996,,
2005-11-10T02:22:17.437040,36.303745,26.510461,109.49707,IDI,35.29,24.89,2.459001,3.271501,0.984001,0.809001
2005-11-10T02:22:17.437040,36.303745,26.510461,109.49707,RETH,35.2934,24.4948,3.395002,1.095002,2.115002,3.535002
2005-11-10T02:22:17.437040,36.303745,26.510461,109.49707,TUR8,36.8273,28.939,3.582003,2.002003,1.422003,3.102003
2005-11-13T08:20:54.922965,36.982648,23.240319,73.852539,PE07,37.1478,22.8195,1.381997,0.961997,3.701997,1.431997
2005-11-13T08:20:54.922965,36.982648,23.240319,73.852539,IDHR,37.3908,23.2591,1.394997,0.644997,0.974997,0.324997
2005-11-13T08:20:54.922965,36.982648,23.240319,73.852539,PE10,36.6469,22.8982,0.725999,1.165999,1.545999,0.405999
2005-11-13T08:20:54.922965,36.982648,23.240319,73.852539,PE04,37.6007,22.9593,0.917999,2.007999,1.377999,1.997999
2005-11-13T08:20:54.922965,36.982648,23.240319,73.852539,PE08,36.8311,22.442,1.922003,1.242003,0.782003,3.162003
2005-11-13T08:20:54.922965,36.982648,23.240319,73.852539,PE05,37.5128,22.4553,2.299004,0.809004,1.209004,1.499004
2005-11-13T08:20:54.922965,36.982648,23.240319,73.852539,AT04,37.7252,24.0496,2.604001,1.684001,2.524001,14.984001
2005-11-13T08:20:54.922965,36.982648,23.240319,73.852539,PE02,37.8958,22.4907,0.960001,1.380001,1.050001,2.930001
2005-11-13T08:42:58.871332,36.716649,28.078055,66.772461,RHON,36.38,28.0844,1.892998,2.942998,2.122998,7.882998
2005-11-13T08:42:58.871332,36.716649,28.078055,66.772461,TUR7,36.7017,27.5697,0.930997,1.890997,0.980997,1.030997
2005-11-13T08:42:58.871332,36.716649,28.078055,66.772461,TUR6,37.0159,28.4262,0.710002,0.690002,1.640002,1.560002
2005-11-13T08:42:58.871332,36.716649,28.078055,66.772461,TUR4,37.08,27.8077,1.722002,0.922002,0.822002,0.762002
2005-11-13T08:42:58.871332,36.716649,28.078055,66.772461,TILO,36.4485,27.3535,1.168999,1.218999,11.618999,12.588999
2005-11-13T08:42:58.871332,36.716649,28.078055,66.772461,TUR5,37.0302,27.3167,1.156003,0.876003,1.016003,2.636003
2005-11-13T08:42:58.871332,36.716649,28.078055,66.772461,TUR8,36.8273,28.939,0.960002,2.490002,0.910002,10.310002
2005-11-13T19:21:11.818925,36.617659,26.589631,140.380859,ASTY,36.5795,26.4114,0.642001,0.492001,12.602001,2.392001
2005-11-13T19:21:11.818925,36.617659,26.589631,140.380859,KOSI,36.7449,26.9517,4.118001,1.678001,1.748001,14.788001
2005-11-13T19:21:11.818925,36.617659,26.589631,140.380859,AMOE,36.915,25.9788,0.688003,1.478003,11.688003,9.118003
2005-11-13T19:21:11.818925,36.617659,26.589631,140.380859,TUR5,37.0302,27.3167,0.737998,10.857998,13.617998,7.357998
2005-11-13T19:21:11.818925,36.617659,26.589631,140.380859,ANID,36.6251,25.6847,1.700002,1.510002,9.350002,6.120002
2005-11-13T19:21:11.818925,36.617659,26.589631,140.380859,SCHI,36.8744,25.518,1.035003,11.935003,8.385003,13.555003
2005-11-13T19:21:11.818925,36.617659,26.589631,140.380859,SANT,36.37,25.46,0.568001,9.118001,,
2005-11-13T19:21:11.818925,36.617659,26.589631,140.380859,APE,37.07,25.53,2.395,12.145,,
2005-11-13T19:21:11.818925,36.617659,26.589631,140.380859,NAXO,36.98,25.44,0.809001,2.139001,9.569001,9.589001
